transect,date,elevation,band,wavelength,reflectance
COPR 2 NS,2/24/2022,High,166,1203.62561,0.141571
COPR 2 NS,2/24/2022,High,167,1208.63562,0.142281
COPR 2 NS,2/24/2022,High,168,1213.64563,0.144042
COPR 2 NS,2/24/2022,High,169,1218.65564,0.145172
COPR 2 NS,2/24/2022,High,170,1223.665649,0.146245
COPR 2 NS,2/24/2022,High,171,1228.665649,0.145757
COPR 2 NS,2/24/2022,High,172,1233.675659,0.148704
COPR 2 NS,2/24/2022,High,173,1238.685669,0.148467
COPR 2 NS,2/24/2022,High,174,1243.695679,0.150044
COPR 2 NS,2/24/2022,High,175,1248.705688,0.150685
COPR 2 NS,2/24/2022,High,176,1253.715698,0.151414
COPR 2 NS,2/24/2022,High,177,1258.725708,0.152272
COPR 2 NS,2/24/2022,High,178,1263.725708,0.151506
COPR 2 NS,2/24/2022,High,179,1268.735596,0.154665
COPR 2 NS,2/24/2022,High,180,1273.745605,0.155736
COPR 2 NS,2/24/2022,High,181,1278.755615,0.1554
COPR 2 NS,2/24/2022,High,182,1283.765625,0.157656
COPR 2 NS,2/24/2022,High,183,1288.775635,0.158206
COPR 2 NS,2/24/2022,High,184,1293.785645,0.15925
COPR 2 NS,2/24/2022,High,185,1298.795654,0.159931
COPR 2 NS,2/24/2022,High,186,1303.795654,0.161577
COPR 2 NS,2/24/2022,High,187,1308.805664,0.158737
COPR 2 NS,2/24/2022,High,188,1313.815674,0.158502
COPR 2 NS,2/24/2022,High,189,1318.825684,0.157374
COPR 2 NS,2/24/2022,High,190,1323.835693,0.156983
COPR 2 NS,2/24/2022,High,191,1328.845703,0.15185
COPR 2 NS,2/24/2022,High,192,1333.855591,0.15428
COPR 2 NS,2/24/2022,High,193,1338.855591,0.156403
COPR 2 NS,2/24/2022,High,194,1343.865601,0.154331
COPR 2 NS,2/24/2022,High,195,1348.87561,0.160342
COPR 2 NS,2/24/2022,High,196,1353.88562,0.154216
COPR 2 NS,2/24/2022,High,197,1358.89563,0.256496
COPR 2 NS,2/24/2022,High,198,1363.90564,0.427846
COPR 2 NS,2/24/2022,High,199,1368.915649,0.445439
COPR 2 NS,2/24/2022,High,200,1373.925659,0.253776
COPR 2 NS,2/24/2022,High,201,1378.925659,0.236172
COPR 2 NS,2/24/2022,High,202,1383.935669,0.459756
COPR 2 NS,2/24/2022,High,203,1388.945679,0.205254
COPR 2 NS,2/24/2022,High,204,1393.955688,0.216796
COPR 2 NS,2/24/2022,High,205,1398.965698,0.182387
COPR 2 NS,2/24/2022,High,206,1403.975708,0.156508
COPR 2 NS,2/24/2022,High,207,1408.985596,0.144272
COPR 2 NS,2/24/2022,High,208,1413.985596,0.131838
COPR 2 NS,2/24/2022,High,209,1418.995605,0.125857
COPR 2 NS,2/24/2022,High,210,1424.005615,0.116739
COPR 2 NS,2/24/2022,High,211,1429.015625,0.115631
COPR 2 NS,2/24/2022,High,212,1434.025635,0.110983
COPR 2 NS,2/24/2022,High,213,1439.035645,0.115898
COPR 2 NS,2/24/2022,High,214,1444.045654,0.112106
COPR 2 NS,2/24/2022,High,215,1449.055664,0.11204
COPR 2 NS,2/24/2022,High,216,1454.055664,0.11464
COPR 2 NS,2/24/2022,High,217,1459.065674,0.113842
COPR 2 NS,2/24/2022,High,218,1464.075684,0.111277
COPR 2 NS,2/24/2022,High,219,1469.085693,0.108884
COPR 2 NS,2/24/2022,High,220,1474.095703,0.112773
COPR 2 NS,2/24/2022,High,221,1479.105591,0.113458
COPR 2 NS,2/24/2022,High,222,1484.115601,0.117286
COPR 2 NS,2/24/2022,High,223,1489.115601,0.117996
COPR 2 NS,2/24/2022,High,224,1494.12561,0.120294
COPR 2 NS,2/24/2022,High,225,1499.13562,0.121344
COPR 2 NS,2/24/2022,High,226,1504.14563,0.119249
COPR 2 NS,2/24/2022,High,227,1509.15564,0.123446
COPR 2 NS,2/24/2022,High,228,1514.165649,0.124801
COPR 2 NS,2/24/2022,High,229,1519.175659,0.126179
COPR 2 NS,2/24/2022,High,230,1524.185669,0.127556
COPR 2 NS,2/24/2022,High,231,1529.185669,0.127513
COPR 2 NS,2/24/2022,High,232,1534.195679,0.130405
COPR 2 NS,2/24/2022,High,233,1539.205688,0.129198
COPR 2 NS,2/24/2022,High,234,1544.215698,0.134253
COPR 2 NS,2/24/2022,High,235,1549.225708,0.133086
COPR 2 NS,2/24/2022,High,236,1554.235596,0.134541
COPR 2 NS,2/24/2022,High,237,1559.245605,0.134328
COPR 2 NS,2/24/2022,High,238,1564.245605,0.132963
COPR 2 NS,2/24/2022,High,239,1569.255615,0.136554
COPR 2 NS,2/24/2022,High,240,1574.265625,0.132454
COPR 2 NS,2/24/2022,High,241,1579.275635,0.134374
COPR 2 NS,2/24/2022,High,242,1584.285645,0.134776
COPR 2 NS,2/24/2022,High,243,1589.295654,0.138201
COPR 2 NS,2/24/2022,High,244,1594.305664,0.139608
COPR 2 NS,2/24/2022,High,245,1599.315674,0.139204
COPR 2 NS,2/24/2022,High,246,1604.315674,0.141464
COPR 2 NS,2/24/2022,High,247,1609.325684,0.147371
COPR 2 NS,2/24/2022,High,248,1614.335693,0.14557
COPR 2 NS,2/24/2022,High,249,1619.345703,0.144815
COPR 2 NS,2/24/2022,High,250,1624.355591,0.147976
COPR 2 NS,2/24/2022,High,251,1629.365601,0.148518
COPR 2 NS,2/24/2022,High,252,1634.37561,0.150675
COPR 2 NS,2/24/2022,High,253,1639.37561,0.15169
COPR 2 NS,2/24/2022,High,254,1644.38562,0.15121
COPR 2 NS,2/24/2022,High,255,1649.39563,0.151242
COPR 2 NS,2/24/2022,High,256,1654.40564,0.152366
COPR 2 NS,2/24/2022,High,257,1659.415649,0.153778
COPR 2 NS,2/24/2022,High,258,1664.425659,0.153593
COPR 2 NS,2/24/2022,High,259,1669.435669,0.154092
COPR 2 NS,2/24/2022,High,260,1674.445679,0.15451
COPR 2 NS,2/24/2022,High,261,1679.445679,0.155512
COPR 2 NS,2/24/2022,High,262,1684.455688,0.153241
COPR 2 NS,2/24/2022,High,263,1689.465698,0.153742
COPR 2 NS,2/24/2022,High,264,1694.475708,0.153677
COPR 2 NS,2/24/2022,High,265,1699.485596,0.151483
COPR 2 NS,2/24/2022,High,266,1704.495605,0.150899
COPR 2 NS,2/24/2022,High,267,1709.505615,0.149769
COPR 2 NS,2/24/2022,High,268,1714.505615,0.150096
COPR 2 NS,2/24/2022,High,269,1719.515625,0.147727
COPR 2 NS,2/24/2022,High,270,1724.525635,0.147077
COPR 2 NS,2/24/2022,High,271,1729.535645,0.145419
COPR 2 NS,2/24/2022,High,272,1734.545654,0.148653
COPR 2 NS,2/24/2022,High,273,1739.555664,0.150218
COPR 2 NS,2/24/2022,High,274,1744.565674,0.148508
COPR 2 NS,2/24/2022,High,275,1749.575684,0.148386
COPR 2 NS,2/24/2022,High,276,1754.575684,0.149381
COPR 2 NS,2/24/2022,High,277,1759.585693,0.148795
COPR 2 NS,2/24/2022,High,278,1764.595703,0.148817
COPR 2 NS,2/24/2022,High,279,1769.605591,0.151718
COPR 2 NS,2/24/2022,High,280,1774.615601,0.15051
COPR 2 NS,2/24/2022,High,281,1779.62561,0.152211
COPR 2 NS,2/24/2022,High,282,1784.63562,0.154075
COPR 2 NS,2/24/2022,High,283,1789.63562,0.154639
COPR 2 NS,2/24/2022,High,284,1794.64563,0.159471
COPR 2 NS,2/24/2022,High,285,1799.65564,0.153348
COPR 2 NS,2/24/2022,High,286,1804.665649,0.154072
COPR 2 NS,2/24/2022,High,287,1809.675659,0.149533
COPR 2 NS,2/24/2022,High,288,1814.685669,0.146337
COPR 2 NS,2/24/2022,High,289,1819.695679,0.152028
COPR 2 NS,2/24/2022,High,290,1824.705688,0.159255
COPR 2 NS,2/24/2022,High,291,1829.705688,0.194597
COPR 2 NS,2/24/2022,High,292,1834.715698,0.562297
COPR 2 NS,2/24/2022,High,293,1839.725708,0.445127
COPR 2 NS,2/24/2022,High,294,1844.735596,0.428732
COPR 2 NS,2/24/2022,High,295,1849.745605,0.728098
COPR 2 NS,2/24/2022,High,296,1854.755615,0.907499
COPR 2 NS,2/24/2022,High,297,1859.765625,0.77597
COPR 2 NS,2/24/2022,High,298,1864.775635,0.41698
COPR 2 NS,2/24/2022,High,299,1869.775635,0.902031
COPR 2 NS,2/24/2022,High,300,1874.785645,0.914718
COPR 2 NS,2/24/2022,High,301,1879.795654,0.2992
COPR 2 NS,2/24/2022,High,302,1884.805664,0.270538
COPR 2 NS,2/24/2022,High,303,1889.815674,0.25146
COPR 2 NS,2/24/2022,High,304,1894.825684,0.2507
COPR 2 NS,2/24/2022,High,305,1899.835693,0.43518
COPR 2 NS,2/24/2022,High,306,1904.835693,0.744173
COPR 2 NS,2/24/2022,High,307,1909.845703,0.343653
COPR 2 NS,2/24/2022,High,308,1914.855591,0.24842
COPR 2 NS,2/24/2022,High,309,1919.865601,0.135678
COPR 2 NS,2/24/2022,High,310,1924.87561,0.12904
COPR 2 NS,2/24/2022,High,311,1929.88562,0.122864
COPR 2 NS,2/24/2022,High,312,1934.89563,0.102929
COPR 2 NS,2/24/2022,High,313,1939.90564,0.103396
COPR 2 NS,2/24/2022,High,314,1944.90564,0.107442
COPR 2 NS,2/24/2022,High,315,1949.915649,0.104652
COPR 2 NS,2/24/2022,High,316,1954.925659,0.100138
COPR 2 NS,2/24/2022,High,317,1959.935669,0.107006
COPR 2 NS,2/24/2022,High,318,1964.945679,0.107093
COPR 2 NS,2/24/2022,High,319,1969.955688,0.106868
COPR 2 NS,2/24/2022,High,320,1974.965698,0.10701
COPR 2 NS,2/24/2022,High,321,1979.965698,0.111042
COPR 2 NS,2/24/2022,High,322,1984.975708,0.110535
COPR 2 NS,2/24/2022,High,323,1989.985596,0.112057
COPR 2 NS,2/24/2022,High,324,1994.995605,0.109149
COPR 2 NS,2/24/2022,High,325,2000.005615,0.104064
COPR 2 NS,2/24/2022,High,326,2005.015625,0.100365
COPR 2 NS,2/24/2022,High,327,2010.025635,0.098437
COPR 2 NS,2/24/2022,High,328,2015.035645,0.098999
COPR 2 NS,2/24/2022,High,329,2020.035645,0.118049
COPR 2 NS,2/24/2022,High,330,2025.045654,0.1217
COPR 2 NS,2/24/2022,High,331,2030.055664,0.120453
COPR 2 NS,2/24/2022,High,332,2035.065674,0.120461
COPR 2 NS,2/24/2022,High,333,2040.075684,0.119602
COPR 2 NS,2/24/2022,High,334,2045.085693,0.117208
COPR 2 NS,2/24/2022,High,335,2050.095703,0.114007
COPR 2 NS,2/24/2022,High,336,2055.095703,0.111813
COPR 2 NS,2/24/2022,High,337,2060.105713,0.11125
COPR 2 NS,2/24/2022,High,338,2065.115723,0.110848
COPR 2 NS,2/24/2022,High,339,2070.125732,0.115371
COPR 2 NS,2/24/2022,High,340,2075.135742,0.118181
COPR 2 NS,2/24/2022,High,341,2080.145752,0.116199
COPR 2 NS,2/24/2022,High,342,2085.155762,0.115255
COPR 2 NS,2/24/2022,High,343,2090.165771,0.116242
COPR 2 NS,2/24/2022,High,344,2095.165771,0.116298
COPR 2 NS,2/24/2022,High,345,2100.175537,0.114432
COPR 2 NS,2/24/2022,High,346,2105.185547,0.114818
COPR 2 NS,2/24/2022,High,347,2110.195557,0.114431
COPR 2 NS,2/24/2022,High,348,2115.205566,0.114692
COPR 2 NS,2/24/2022,High,349,2120.215576,0.11612
COPR 2 NS,2/24/2022,High,350,2125.225586,0.118206
COPR 2 NS,2/24/2022,High,351,2130.225586,0.118568
COPR 2 NS,2/24/2022,High,352,2135.235596,0.116832
COPR 2 NS,2/24/2022,High,353,2140.245605,0.119091
COPR 2 NS,2/24/2022,High,354,2145.255615,0.118071
COPR 2 NS,2/24/2022,High,355,2150.265625,0.11881
COPR 2 NS,2/24/2022,High,356,2155.275635,0.121184
COPR 2 NS,2/24/2022,High,357,2160.285645,0.119925
COPR 2 NS,2/24/2022,High,358,2165.295654,0.122483
COPR 2 NS,2/24/2022,High,359,2170.295654,0.120915
COPR 2 NS,2/24/2022,High,360,2175.305664,0.121738
COPR 2 NS,2/24/2022,High,361,2180.315674,0.121258
COPR 2 NS,2/24/2022,High,362,2185.325684,0.124164
COPR 2 NS,2/24/2022,High,363,2190.335693,0.125072
COPR 2 NS,2/24/2022,High,364,2195.345703,0.12535
COPR 2 NS,2/24/2022,High,365,2200.355713,0.124073
COPR 2 NS,2/24/2022,High,366,2205.355713,0.123133
COPR 2 NS,2/24/2022,High,367,2210.365723,0.127307
COPR 2 NS,2/24/2022,High,368,2215.375732,0.127068
COPR 2 NS,2/24/2022,High,369,2220.385742,0.126269
COPR 2 NS,2/24/2022,High,370,2225.395752,0.126356
COPR 2 NS,2/24/2022,High,371,2230.405762,0.126732
COPR 2 NS,2/24/2022,High,372,2235.415771,0.121782
COPR 2 NS,2/24/2022,High,373,2240.425537,0.120777
COPR 2 NS,2/24/2022,High,374,2245.425537,0.117302
COPR 2 NS,2/24/2022,High,375,2250.435547,0.113305
COPR 2 NS,2/24/2022,High,376,2255.445557,0.110924
COPR 2 NS,2/24/2022,High,377,2260.455566,0.108658
COPR 2 NS,2/24/2022,High,378,2265.465576,0.105621
COPR 2 NS,2/24/2022,High,379,2270.475586,0.105701
COPR 2 NS,2/24/2022,High,380,2275.485596,0.103393
COPR 2 NS,2/24/2022,High,381,2280.485596,0.101045
COPR 2 NS,2/24/2022,High,382,2285.495605,0.102008
COPR 2 NS,2/24/2022,High,383,2290.505615,0.101207
COPR 2 NS,2/24/2022,High,384,2295.515625,0.098732
COPR 2 NS,2/24/2022,High,385,2300.525635,0.095443
COPR 2 NS,2/24/2022,High,386,2305.535645,0.09453
COPR 2 NS,2/24/2022,High,387,2310.545654,0.093838
COPR 2 NS,2/24/2022,High,388,2315.555664,0.092128
COPR 2 NS,2/24/2022,High,389,2320.555664,0.096107
COPR 2 NS,2/24/2022,High,390,2325.565674,0.098926
COPR 2 NS,2/24/2022,High,391,2330.575684,0.096767
COPR 2 NS,2/24/2022,High,392,2335.585693,0.095984
COPR 2 NS,2/24/2022,High,393,2340.595703,0.094674
COPR 2 NS,2/24/2022,High,394,2345.605713,0.091793
COPR 2 NS,2/24/2022,High,395,2350.615723,0.091334
COPR 2 NS,2/24/2022,High,396,2355.615723,0.09322
COPR 2 NS,2/24/2022,High,397,2360.625732,0.095389
COPR 2 NS,2/24/2022,High,398,2365.635742,0.094384
COPR 2 NS,2/24/2022,High,399,2370.645752,0.092074
COPR 2 NS,2/24/2022,High,400,2375.655762,0.096247
COPR 2 NS,2/24/2022,High,401,2380.665771,0.093879
COPR 2 NS,2/24/2022,High,402,2385.675537,0.09412
COPR 2 NS,2/24/2022,High,403,2390.685547,0.094067
COPR 2 NS,2/24/2022,High,404,2395.685547,0.093097
COPR 2 NS,2/24/2022,High,405,2400.695557,0.093081
COPR 2 NS,2/24/2022,High,406,2405.705566,0.09371
COPR 2 NS,2/24/2022,High,407,2410.715576,0.089356
COPR 2 NS,2/24/2022,High,408,2415.725586,0.0911
COPR 2 NS,2/24/2022,High,409,2420.735596,0.091819
COPR 2 NS,2/24/2022,High,410,2425.745605,0.087326
COPR 2 NS,2/24/2022,High,411,2430.745605,0.088701
COPR 2 NS,2/24/2022,High,412,2435.755615,0.085838
COPR 2 NS,2/24/2022,High,413,2440.765625,0.084035
COPR 2 NS,2/24/2022,High,414,2445.775635,0.085324
COPR 2 NS,2/24/2022,High,415,2450.785645,0.084111
COPR 2 NS,2/24/2022,High,416,2455.795654,0.084087
COPR 2 NS,2/24/2022,High,417,2460.805664,0.078725
COPR 2 NS,2/24/2022,High,418,2465.815674,0.080518
COPR 2 NS,2/24/2022,High,419,2470.815674,0.083672
COPR 2 NS,2/24/2022,High,420,2475.825684,0.078573
COPR 2 NS,2/24/2022,High,421,2480.835693,0.079523
COPR 2 NS,2/24/2022,High,422,2485.845703,0.07172
COPR 2 NS,2/24/2022,High,423,2490.855713,0.082432
COPR 2 NS,2/24/2022,High,424,2495.865723,0.091911
COPR 2 NS,2/24/2022,High,425,2500.875732,0.075846
COPR 2 NS,2/24/2022,Mid 1,1,377.195648,0.015822
COPR 2 NS,2/24/2022,Mid 1,2,382.205658,0.000013
COPR 2 NS,2/24/2022,Mid 1,3,387.215637,0.000926
COPR 2 NS,2/24/2022,Mid 1,4,392.225647,0.004626
COPR 2 NS,2/24/2022,Mid 1,5,397.225647,0.008311
COPR 2 NS,2/24/2022,Mid 1,6,402.235657,0.006331
COPR 2 NS,2/24/2022,Mid 1,7,407.245636,0.012333
COPR 2 NS,2/24/2022,Mid 1,8,412.255646,0.01905
COPR 2 NS,2/24/2022,Mid 1,9,417.265656,0.018871
COPR 2 NS,2/24/2022,Mid 1,10,422.275635,0.021697
COPR 2 NS,2/24/2022,Mid 1,11,427.285645,0.024237
COPR 2 NS,2/24/2022,Mid 1,12,432.295654,0.027544
COPR 2 NS,2/24/2022,Mid 1,13,437.295654,0.027747
COPR 2 NS,2/24/2022,Mid 1,14,442.305664,0.029997
COPR 2 NS,2/24/2022,Mid 1,15,447.315643,0.030862
COPR 2 NS,2/24/2022,Mid 1,16,452.325653,0.030898
COPR 2 NS,2/24/2022,Mid 1,17,457.335663,0.030878
COPR 2 NS,2/24/2022,Mid 1,18,462.345642,0.031223
COPR 2 NS,2/24/2022,Mid 1,19,467.355652,0.029871
COPR 2 NS,2/24/2022,Mid 1,20,472.355652,0.031236
COPR 2 NS,2/24/2022,Mid 1,21,477.365662,0.032946
COPR 2 NS,2/24/2022,Mid 1,22,482.375641,0.034917
COPR 2 NS,2/24/2022,Mid 1,23,487.385651,0.035434
COPR 2 NS,2/24/2022,Mid 1,24,492.39566,0.034522
COPR 2 NS,2/24/2022,Mid 1,25,497.40564,0.034753
COPR 2 NS,2/24/2022,Mid 1,26,502.415649,0.03702
