Output of VIPER 2 Tools EAR/MASA/COB routine: Fri Sep 01 13:42:51 2023

Name:,Spectrum name
Group:, Attribute in grouping field
EAR:, Within group Endmember Average Root Mean Squared Error
MASA:, Within group Average Spectral Angle
InCoB:, Within group count of spectra modeled
OutCoB:, Outside of group count of spectra modeled
CoBI:, CoB Index calculated as: InCoB/OutCoB/number of spectra in group

Name,Group,EAR,MASA,InCoB,OutCoB,CoBI
Mud_X179_Y88, MUD,   3.56234e-06,      0.204168,            0,            0,       0.00000
220302b.20m.asd                 No-OAR, PICKLEWEED,   3.85964e-06,      0.235670,            9,           48,     0.0187500
220302b.20m.asd                 No-OAR, PICKLEWEED,   3.85964e-06,      0.235670,            9,           48,     0.0187500
220302b.24m.asd                 No-OAR, PICKLEWEED,   4.45256e-06,      0.271810,            0,            0,       0.00000
220302b.24m.asd                 No-OAR, PICKLEWEED,   4.45256e-06,      0.271810,            0,            0,       0.00000
220302b.26m.asd                 No-OAR, PICKLEWEED,   3.92131e-06,      0.238894,            0,            0,       0.00000
220302b.26m.asd                 No-OAR, PICKLEWEED,   3.92131e-06,      0.238894,            0,            0,       0.00000
Pickleweed_X177_Y93, PICKLEWEED,   6.09501e-06,      0.398229,            9,           38,     0.0236842
Pickleweed_X177_Y93, PICKLEWEED,   6.09501e-06,      0.398229,            9,           38,     0.0236842
Pickleweed_X201_Y50, PICKLEWEED,   6.19961e-06,      0.414499,            9,           48,     0.0187500
Pickleweed_X201_Y50, PICKLEWEED,   6.19961e-06,      0.414499,            9,           48,     0.0187500
ShallowWater_X200_Y59, SHALLOW WATER,   2.13510e-06,      0.175529,            7,           38,     0.0230263
ShallowWater_X200_Y59, SHALLOW WATER,   2.13510e-06,      0.175529,            7,           38,     0.0230263
ShallowWater_X200_Y60, SHALLOW WATER,   2.07876e-06,      0.172401,            7,           44,     0.0198864
ShallowWater_X200_Y60, SHALLOW WATER,   2.07876e-06,      0.172401,            7,           44,     0.0198864
ShallowWater_X202_Y211, SHALLOW WATER,   1.84538e-06,      0.152939,            7,           40,     0.0218750
ShallowWater_X202_Y211, SHALLOW WATER,   1.84538e-06,      0.152939,            7,           40,     0.0218750
ShallowWater_X203_Y211, SHALLOW WATER,   1.78423e-06,      0.147703,            7,           36,     0.0243056
ShallowWater_X203_Y211, SHALLOW WATER,   1.78423e-06,      0.147703,            7,           36,     0.0243056
Trees_X136_Y152, TREES,   1.52375e-06,     0.0862606,            5,           52,     0.0160256
Trees_X136_Y152, TREES,   1.52375e-06,     0.0862606,            5,           52,     0.0160256
Trees_X136_Y153, TREES,   1.49489e-06,     0.0846512,            5,           52,     0.0160256
Trees_X136_Y153, TREES,   1.49489e-06,     0.0846512,            5,           52,     0.0160256
Trees_X219_Y186, TREES,   2.38285e-06,      0.116646,            0,            0,       0.00000
Trees_X219_Y186, TREES,   2.38285e-06,      0.116646,            0,            0,       0.00000
Uplands_X143_Y104, UPLANDS,   4.49569e-06,      0.184943,            5,           58,     0.0143678
Uplands_X143_Y104, UPLANDS,   4.49569e-06,      0.184943,            5,           58,     0.0143678
Uplands_X232_Y23, UPLANDS,   3.04822e-06,      0.112726,            0,            0,       0.00000
Uplands_X232_Y23, UPLANDS,   3.04822e-06,      0.112726,            0,            0,       0.00000
Uplands_X233_Y22, UPLANDS,   3.36053e-06,      0.122352,            0,            0,       0.00000
Uplands_X233_Y22, UPLANDS,   3.36053e-06,      0.122352,            0,            0,       0.00000
Water_X174_Y193, WATER,   2.42276e-06,      0.184240,            0,            0,       0.00000
Water_X174_Y193, WATER,   2.42276e-06,      0.184240,            0,            0,       0.00000
Water_X198_Y103, WATER,   1.41678e-06,      0.115724,            7,           68,     0.0128676
Water_X198_Y103, WATER,   1.41678e-06,      0.115724,            7,           68,     0.0128676
Water_X199_Y103, WATER,   1.25817e-06,      0.103264,            7,           74,     0.0118243
Water_X199_Y103, WATER,   1.25817e-06,      0.103264,            7,           74,     0.0118243
Water_X210_Y122, WATER,   1.29376e-06,      0.104510,            7,           62,     0.0141129
Water_X210_Y122, WATER,   1.29376e-06,      0.104510,            7,           62,     0.0141129
WetSand_X143_Y363, WET SAND,   2.87468e-06,      0.181172,            0,            0,       0.00000
WetSand_X143_Y363, WET SAND,   2.87468e-06,      0.181172,            0,            0,       0.00000
WetSand_X97_Y349, WET SAND,   2.34288e-06,      0.151236,            7,           38,     0.0230263
WetSand_X97_Y349, WET SAND,   2.34288e-06,      0.151236,            7,           38,     0.0230263
WetSand_X97_Y350, WET SAND,   2.71370e-06,      0.174890,            7,           38,     0.0230263
WetSand_X97_Y350, WET SAND,   2.71370e-06,      0.174890,            7,           38,     0.0230263
WetSand_X98_Y349, WET SAND,   2.22680e-06,      0.143303,            7,           36,     0.0243056
WetSand_X98_Y349, WET SAND,   2.22680e-06,      0.143303,            7,           36,     0.0243056
