soil_id,date,paired_flight,transect,direction,meter_location,wet_mass_g,dried_mass_g,electro_cond_mS_per_cm,water_content_percent,corresponding_plant_sample,sampling_method,season,latitude,longitude,landcover
17,3/2/2022,2022_02_28,NCOS_2_NS,NS,4,132.585,100.826,3.5,23.95,406,single,Spring,34.41891616,-119.8759174,vegetated
18,3/2/2022,2022_02_28,NCOS_2_NS,NS,12,178.458,141.273,3.11,20.84,410,single,Spring,34.41906098,-119.8759127,vegetated
19,3/2/2022,2022_02_28,NCOS_2_NS,NS,20,135.357,109.122,3.69,19.38,407,single,Spring,34.41906098,-119.8759127,soil
20,3/2/2022,2022_02_28,NCOS_2_NS,NS,28,165.718,129.706,4.86,21.73,NA,single,Spring,34.4191319,-119.8759086,soil
21,3/2/2022,2022_02_28,NCOS_2_EW,EW,4,67.184,58.456,1.45,12.99,408,single,Spring,34.4190296,-119.8760796,vegetated
22,3/2/2022,2022_02_28,NCOS_2_EW,EW,12,136.705,109.352,1.3,20.01,409,single,Spring,34.41900372,-119.8760001,vegetated
23,3/2/2022,2022_02_28,NCOS_2_EW,EW,20,157.554,122.301,3.17,22.38,410,single,Spring,34.41897751,-119.8759183,vegetated
24,3/2/2022,2022_02_28,NCOS_2_EW,EW,28,159.476,125.529,3.54,21.29,411,single,Spring,34.4189515,-119.8758376,vegetated
25,3/9/2022,2022_03_08,NCOS_1_NS,NS,4,251.325,202.239,0.56,19.53,NA,average,Spring,34.42097283,-119.8749907,vegetated
26,3/9/2022,2022_03_08,NCOS_1_NS,NS,12,196.748,159.932,1.89,18.71,NA,average,Spring,34.42092564,-119.8749717,vegetated
27,3/9/2022,2022_03_08,NCOS_1_NS,NS,20,139.057,123.518,4.06,11.17,NA,average,Spring,34.42083872,-119.8749289,vegetated
28,3/9/2022,2022_03_08,NCOS_1_NS,NS,28,293.985,243.455,6.59,17.19,NA,average,Spring,34.42077106,-119.874899,vegetated
29,3/9/2022,2022_03_08,NCOS_2_NS,NS,4,398.323,318.157,2.88,20.13,NA,average,Spring,34.41891616,-119.8759174,vegetated
30,3/9/2022,2022_03_08,NCOS_2_NS,NS,12,239.192,188.733,3.41,21.1,NA,average,Spring,34.41906098,-119.8759127,vegetated
31,3/9/2022,2022_03_08,NCOS_2_NS,NS,20,338.355,269.938,4.4,20.22,NA,average,Spring,34.41906098,-119.8759127,soil
32,3/9/2022,2022_03_08,NCOS_2_NS,NS,28,213.192,173.139,4.72,18.79,NA,average,Spring,34.4191319,-119.8759086,soil
33,3/9/2022,2022_03_08,NCOS_2_EW,EW,4,361.517,306.092,0.76,15.33,NA,average,Spring,34.4190296,-119.8760796,vegetated
34,3/9/2022,2022_03_08,NCOS_2_EW,EW,12,331.242,260.241,1.4,21.43,NA,average,Spring,34.41900372,-119.8760001,vegetated
35,3/9/2022,2022_03_08,NCOS_2_EW,EW,20,297.581,231.19,2.71,22.31,NA,average,Spring,34.41897751,-119.8759183,vegetated
36,3/9/2022,2022_03_08,NCOS_2_EW,EW,28,318.267,250.389,3.73,21.33,NA,average,Spring,34.4189515,-119.8758376,vegetated
37,3/23/2022,2022_03_22,COPR_1_EW,EW,4,77.407,65.746,0.42,15.06,412-414,average,Spring,34.41191815,-119.8756959,vegetated
38,3/23/2022,2022_03_22,COPR_1_EW,EW,12,91.335,71.625,0.72,21.58,415-416,average,Spring,34.41197406,-119.8757513,vegetated
39,3/23/2022,2022_03_22,COPR_1_EW,EW,20,65.373,52.65,0.5,19.46,417-418,average,Spring,34.41202918,-119.8758077,vegetated
40,3/23/2022,2022_03_22,COPR_1_EW,EW,24,65.325,51.501,0.62,21.16,NA,average,Spring,34.41205625,-119.8758351,vegetated
41,3/23/2022,2022_03_22,COPR_1_EW,EW,28,59.174,46.871,0.87,20.79,419,average,Spring,34.41208235,-119.8758625,vegetated
42,3/23/2022,2022_03_22,COPR_2_NS,NS,4,58.178,39.406,7.76,32.27,422,average,Spring,34.41600461,-119.8738069,vegetated
43,3/23/2022,2022_03_22,COPR_2_NS,NS,12,67.102,46.145,9.35,31.23,423,average,Spring,34.41607591,-119.8737994,vegetated
44,3/23/2022,2022_03_22,COPR_2_NS,NS,20,49.263,36.075,13.54,26.77,NA,average,Spring,34.41614802,-119.8737927,soil
45,3/23/2022,2022_03_22,COPR_2_NS,NS,28,78.604,57.679,12.18,26.62,NA,average,Spring,34.41622035,-119.8737838,soil
46,3/23/2022,2022_03_22,COPR_2_EW,EW,4,69.027,45.481,8.05,34.11,421,average,Spring,34.41601662,-119.8737188,vegetated
47,3/23/2022,2022_03_22,COPR_2_EW,EW,28,68.467,49.475,10.53,27.74,420,average,Spring,34.41601242,-119.8739768,vegetated
48,3/24/2022,2022_03_22,NCOS_1_NS,NS,4,145.481,125.986,0.45,13.4,424-425,average,Spring,34.42097283,-119.8749907,vegetated
49,3/24/2022,2022_03_22,NCOS_1_NS,NS,12,185.821,157.153,1.14,15.43,426,average,Spring,34.42092564,-119.8749717,vegetated
50,3/24/2022,2022_03_22,NCOS_1_NS,NS,20,277.897,250.037,3.97,10.03,427,average,Spring,34.42083872,-119.8749289,vegetated
51,3/24/2022,2022_03_22,NCOS_1_NS,NS,28,266.085,226.527,5.12,14.87,428,average,Spring,34.42077106,-119.874899,vegetated
52,3/24/2022,2022_03_22,NCOS_2_NS,NS,4,124.558,96.196,4.08,22.77,433,average,Spring,34.41891616,-119.8759174,vegetated
53,3/24/2022,2022_03_22,NCOS_2_NS,NS,12,127.304,101.377,5.27,20.37,434,average,Spring,34.41906098,-119.8759127,vegetated
54,3/24/2022,2022_03_22,NCOS_2_NS,NS,20,111.469,91.043,4.98,18.32,435,average,Spring,34.41906098,-119.8759127,soil
55,3/24/2022,2022_03_22,NCOS_2_NS,NS,28,144.389,121.133,3.91,16.11,NA,average,Spring,34.4191319,-119.8759086,soil
56,3/24/2022,2022_03_22,NCOS_2_EW,EW,4,102.036,90.299,0.74,11.5,429,average,Spring,34.4190296,-119.8760796,vegetated
57,3/24/2022,2022_03_22,NCOS_2_EW,EW,12,65.277,54.852,1.28,15.97,430,average,Spring,34.41900372,-119.8760001,vegetated
58,3/24/2022,2022_03_22,NCOS_2_EW,EW,20,185.247,143.598,4.69,22.48,431,average,Spring,34.41897751,-119.8759183,vegetated
59,3/24/2022,2022_03_22,NCOS_2_EW,EW,28,185.256,145.07,4.42,21.69,432,average,Spring,34.4189515,-119.8758376,vegetated
60,4/6/2022,2022_04_05,NCOS_1_NS,NS,4,80.615,63.811,0.44,20.84,436-437,average,Spring,34.42097283,-119.8749907,vegetated
61,4/6/2022,2022_04_05,NCOS_1_NS,NS,12,22.891,18.501,1.2,19.18,438,average,Spring,34.42092564,-119.8749717,vegetated
62,4/6/2022,2022_04_05,NCOS_1_NS,NS,20,65.771,55.765,2.47,15.21,439,average,Spring,34.42083872,-119.8749289,vegetated
63,4/6/2022,2022_04_05,NCOS_1_NS,NS,28,42.813,34.923,3.16,18.43,440,average,Spring,34.42077106,-119.874899,vegetated
64,4/6/2022,2022_04_05,NCOS_2_NS,NS,4,114.386,86.436,4.02,24.43,445,average,Spring,34.41891616,-119.8759174,vegetated
65,4/6/2022,2022_04_05,NCOS_2_NS,NS,12,NA,NA,10.14,NA,443,average,Spring,34.41906098,-119.8759127,vegetated
66,4/6/2022,2022_04_05,NCOS_2_NS,NS,20,49.156,39.207,6.4,20.24,446,average,Spring,34.41906098,-119.8759127,soil
67,4/6/2022,2022_04_05,NCOS_2_NS,NS,28,107.87,83.314,5.61,22.76,NA,average,Spring,34.4191319,-119.8759086,soil
68,4/6/2022,2022_04_05,NCOS_2_EW,EW,4,38.44,31.947,0.91,16.89,441,average,Spring,34.4190296,-119.8760796,vegetated
69,4/6/2022,2022_04_05,NCOS_2_EW,EW,12,93.614,74.23,1.52,20.71,442,average,Spring,34.41900372,-119.8760001,vegetated
70,4/6/2022,2022_04_05,NCOS_2_EW,EW,20,NA,NA,8.62,NA,443,single,Spring,34.41897751,-119.8759183,vegetated
71,4/6/2022,2022_04_05,NCOS_2_EW,EW,28,NA,NA,NA,NA,444,NA,Spring,34.4189515,-119.8758376,vegetated
72,4/15/2022,2022_04_12,COPR_1_EW,EW,4,68.665,56.191,0.53,18.17,447-449,average,Spring,34.41191815,-119.8756959,vegetated
73,4/15/2022,2022_04_12,COPR_1_EW,EW,12,127.448,96.76,0.62,24.08,450-451,average,Spring,34.41197406,-119.8757513,vegetated
74,4/15/2022,2022_04_12,COPR_1_EW,EW,20,123.24,96.483,0.67,21.71,452-453,average,Spring,34.41202918,-119.8758077,vegetated
75,4/15/2022,2022_04_12,COPR_1_EW,EW,28,41.717,33.42,0.81,19.89,454,average,Spring,34.41208235,-119.8758625,vegetated
76,4/15/2022,2022_04_12,COPR_2_NS,NS,4,56.791,37.839,6.3,33.37,457,average,Spring,34.41600461,-119.8738069,vegetated
77,4/15/2022,2022_04_12,COPR_2_NS,NS,12,56.407,37.342,9.5,33.8,458,average,Spring,34.41607591,-119.8737994,vegetated
78,4/15/2022,2022_04_12,COPR_2_NS,NS,20,142.421,99.666,9.1,30.02,NA,average,Spring,34.41614802,-119.8737927,soil
79,4/15/2022,2022_04_12,COPR_2_NS,NS,28,134.469,96.803,12.4,28.01,NA,average,Spring,34.41622035,-119.8737838,soil
80,4/15/2022,2022_04_12,COPR_2_EW,EW,4,59.737,39.293,7.9,34.22,455,average,Spring,34.41601662,-119.8737188,vegetated
81,4/15/2022,2022_04_12,COPR_2_EW,EW,28,53.889,37.209,8.7,30.95,456,average,Spring,34.41601242,-119.8739768,vegetated
82,4/20/2022,2022_04_20,NCOS_1_NS,NS,4,75.221,62.236,0.74,17.26,459-460,average,Spring,34.42097283,-119.8749907,vegetated
83,4/20/2022,2022_04_20,NCOS_1_NS,NS,12,56.536,44.893,0.12,20.59,461,average,Spring,34.42092564,-119.8749717,vegetated
84,4/20/2022,2022_04_20,NCOS_1_NS,NS,20,60.683,50.993,4.24,15.97,462,average,Spring,34.42083872,-119.8749289,vegetated
85,4/20/2022,2022_04_20,NCOS_1_NS,NS,28,41.938,35.053,4.48,16.42,463,average,Spring,34.42077106,-119.874899,vegetated
86,4/20/2022,2022_04_20,NCOS_2_NS,NS,4,57.217,45.198,6.16,21.01,464,average,Spring,34.41891616,-119.8759174,vegetated
87,4/20/2022,2022_04_20,NCOS_2_NS,NS,12,60.974,48.587,3.4,20.32,465,average,Spring,34.41906098,-119.8759127,vegetated
88,4/20/2022,2022_04_20,NCOS_2_NS,NS,20,116.704,95.269,7.43,18.37,466,average,Spring,34.41906098,-119.8759127,soil
89,4/20/2022,2022_04_20,NCOS_2_NS,NS,28,63.292,50.685,3.19,19.92,NA,average,Spring,34.4191319,-119.8759086,soil
90,4/20/2022,2022_04_20,NCOS_2_EW,EW,4,48.904,42.906,1.46,12.26,467,average,Spring,34.4190296,-119.8760796,vegetated
91,4/20/2022,2022_04_20,NCOS_2_EW,EW,12,56.924,45.351,1.86,20.33,468,average,Spring,34.41900372,-119.8760001,vegetated
92,4/20/2022,2022_04_20,NCOS_2_EW,EW,20,121.769,93.852,4.89,22.93,465,average,Spring,34.41897751,-119.8759183,vegetated
93,4/20/2022,2022_04_20,NCOS_2_EW,EW,28,82.401,59.311,4.62,28.02,469,average,Spring,34.4189515,-119.8758376,vegetated
94,4/21/2022,2022_04_20,COPR_1_EW,EW,4,65.599,55.181,0.62,15.88,470-472,average,Spring,34.41191815,-119.8756959,vegetated
95,4/21/2022,2022_04_20,COPR_1_EW,EW,12,63.569,50.459,0.71,20.62,473-474,average,Spring,34.41197406,-119.8757513,vegetated
96,4/21/2022,2022_04_20,COPR_1_EW,EW,20,68.961,55.571,0.52,19.42,"475,477",average,Spring,34.41202918,-119.8758077,vegetated
97,4/21/2022,2022_04_20,COPR_1_EW,EW,28,44.944,36.051,0.73,19.79,476,average,Spring,34.41208235,-119.8758625,vegetated
98,4/21/2022,2022_04_20,COPR_2_NS,NS,4,39.363,22.653,6.52,42.45,480,average,Spring,34.41600461,-119.8738069,vegetated
99,4/21/2022,2022_04_20,COPR_2_NS,NS,12,79.761,56.787,8.78,28.8,481,average,Spring,34.41607591,-119.8737994,vegetated
100,4/21/2022,2022_04_20,COPR_2_NS,NS,20,106.308,75.379,9.18,29.09,NA,average,Spring,34.41614802,-119.8737927,soil
101,4/21/2022,2022_04_20,COPR_2_NS,NS,28,123.974,90.462,11.49,27.03,NA,average,Spring,34.41622035,-119.8737838,soil
102,4/21/2022,2022_04_20,COPR_2_EW,EW,4,34.627,22.518,7.3,34.97,478,average,Spring,34.41601662,-119.8737188,vegetated
103,4/21/2022,2022_04_20,COPR_2_EW,EW,28,57.313,41.73,9.02,27.19,479,average,Spring,34.41601242,-119.8739768,vegetated
104,5/4/2022,2022_05_03,NCOS_1_NS,NS,4,NA,NA,0.82,NA,482-483,average,Spring,34.42097283,-119.8749907,vegetated
105,5/4/2022,2022_05_03,NCOS_1_NS,NS,12,111.277,94.063,1.89,15.47,484,average,Spring,34.42092564,-119.8749717,vegetated
106,5/4/2022,2022_05_03,NCOS_1_NS,NS,20,NA,NA,2.99,NA,485,average,Spring,34.42083872,-119.8749289,vegetated
107,5/4/2022,2022_05_03,NCOS_1_NS,NS,28,87.063,71.605,5.61,17.75,486,average,Spring,34.42077106,-119.874899,vegetated
108,5/4/2022,2022_05_03,NCOS_2_NS,NS,4,102.983,83.887,3.7,18.54,487,average,Spring,34.41891616,-119.8759174,vegetated
109,5/4/2022,2022_05_03,NCOS_2_NS,NS,12,133.575,108.148,3.33,19.04,491,average,Spring,34.41906098,-119.8759127,vegetated
110,5/4/2022,2022_05_03,NCOS_2_NS,NS,20,50.403,49.59,4.5,1.61,488,average,Spring,34.41906098,-119.8759127,soil
111,5/4/2022,2022_05_03,NCOS_2_NS,NS,28,84.808,68.887,4.68,18.77,NA,average,Spring,34.4191319,-119.8759086,soil
112,5/4/2022,2022_05_03,NCOS_2_EW,EW,4,53.083,48.858,1,7.96,489,average,Spring,34.4190296,-119.8760796,vegetated
113,5/4/2022,2022_05_03,NCOS_2_EW,EW,12,118.296,98.448,2.49,16.78,490,average,Spring,34.41900372,-119.8760001,vegetated
114,5/4/2022,2022_05_03,NCOS_2_EW,EW,20,87.596,67.881,3.57,22.51,491,average,Spring,34.41897751,-119.8759183,vegetated
115,5/4/2022,2022_05_03,NCOS_2_EW,EW,28,83.181,64.06,5.7,22.99,492,average,Spring,34.4189515,-119.8758376,vegetated
116,5/9/2022,2022_05_11,NCOS_1_NS,NS,4,82.175,69.458,0.6,15.48,493-494,average,Spring,34.42097283,-119.8749907,vegetated
117,5/9/2022,2022_05_11,NCOS_1_NS,NS,12,75.487,63.136,2.01,16.36,495,average,Spring,34.42092564,-119.8749717,vegetated
118,5/9/2022,2022_05_11,NCOS_1_NS,NS,20,93.657,81.884,3.93,12.57,496,average,Spring,34.42083872,-119.8749289,vegetated
119,5/9/2022,2022_05_11,NCOS_1_NS,NS,28,80.643,66.366,7.47,17.7,497,average,Spring,34.42077106,-119.874899,vegetated
120,5/9/2022,2022_05_11,NCOS_2_NS,NS,4,87.796,73.261,2.95,16.56,498,average,Spring,34.41891616,-119.8759174,vegetated
121,5/9/2022,2022_05_11,NCOS_2_NS,NS,12,105.036,82.72,4.47,21.25,1201,average,Spring,34.41906098,-119.8759127,vegetated
122,5/9/2022,2022_05_11,NCOS_2_NS,NS,20,NA,NA,5.77,NA,499,average,Spring,34.41906098,-119.8759127,soil
123,5/9/2022,2022_05_11,NCOS_2_NS,NS,28,110.99,93.971,3.72,15.33,NA,average,Spring,34.4191319,-119.8759086,soil
124,5/9/2022,2022_05_11,NCOS_2_EW,EW,4,108.888,98.397,1.37,9.63,500,average,Spring,34.4190296,-119.8760796,vegetated
125,5/9/2022,2022_05_11,NCOS_2_EW,EW,12,132.644,108.347,3.04,18.32,1200,average,Spring,34.41900372,-119.8760001,vegetated
126,5/9/2022,2022_05_11,NCOS_2_EW,EW,20,157.602,123.63,4,21.56,1201,average,Spring,34.41897751,-119.8759183,vegetated
127,5/9/2022,2022_05_11,NCOS_2_EW,EW,28,115.025,90.356,4.78,21.45,1202,average,Spring,34.4189515,-119.8758376,vegetated
128,5/10/2022,2022_05_11,COPR_1_EW,EW,4,67.366,61.284,0.74,9.03,1204-1206,average,Spring,34.41191815,-119.8756959,vegetated
129,5/10/2022,2022_05_11,COPR_1_EW,EW,12,58.927,47.25,0.7,19.82,1207-1208,average,Spring,34.41197406,-119.8757513,vegetated
130,5/10/2022,2022_05_11,COPR_1_EW,EW,20,150.995,121.364,0.68,19.62,1209-1210,average,Spring,34.41202918,-119.8758077,vegetated
131,5/10/2022,2022_05_11,COPR_1_EW,EW,28,98.005,75.951,1.34,22.5,1211,average,Spring,34.41208235,-119.8758625,vegetated
132,5/10/2022,2022_05_11,COPR_2_EW,EW,4,92.494,61.791,8.48,33.19,1214,average,Spring,34.41600461,-119.8738069,vegetated
133,5/10/2022,2022_05_11,COPR_2_EW,EW,28,123.997,92.851,6.32,25.12,1215,average,Spring,34.41607591,-119.8737994,vegetated
134,5/10/2022,2022_05_11,COPR_2_NS,NS,4,106.975,73.507,7.75,31.29,1212,average,Spring,34.41614802,-119.8737927,vegetated
135,5/10/2022,2022_05_11,COPR_2_NS,NS,12,98.878,67.499,11.3,31.74,1213,average,Spring,34.41622035,-119.8737838,vegetated
136,5/10/2022,2022_05_11,COPR_2_NS,NS,20,98.424,71.818,9.41,27.03,NA,average,Spring,34.41601662,-119.8737188,soil
137,5/10/2022,2022_05_11,COPR_2_NS,NS,28,136.544,100.556,11.57,26.36,NA,average,Spring,34.41601242,-119.8739768,soil
138,5/27/2022,2022_05_29 ,NCOS_1_NS,NS,4,156.621,139.067,0.45,11.21,1216-1217,average,Spring,34.42097283,-119.8749907,vegetated
139,5/27/2022,2022_05_29 ,NCOS_1_NS,NS,12,126.91,111.525,1.06,12.12,1218,average,Spring,34.42092564,-119.8749717,vegetated
140,5/27/2022,2022_05_29 ,NCOS_1_NS,NS,20,98.334,88.791,3.91,9.7,1219,average,Spring,34.42083872,-119.8749289,vegetated
141,5/27/2022,2022_05_29 ,NCOS_1_NS,NS,28,98.137,82.375,5.17,16.06,1220,average,Spring,34.42077106,-119.874899,vegetated
142,5/27/2022,2022_05_29 ,NCOS_2_NS,NS,4,110.157,91.566,3.45,16.88,1221,average,Spring,34.41891616,-119.8759174,vegetated
143,5/27/2022,2022_05_29 ,NCOS_2_NS,NS,12,105.972,87.192,3.84,17.72,1225,average,Spring,34.41906098,-119.8759127,vegetated
144,5/27/2022,2022_05_29 ,NCOS_2_NS,NS,20,79.412,69.098,5.93,12.99,1222,average,Spring,34.41906098,-119.8759127,soil
145,5/27/2022,2022_05_29 ,NCOS_2_NS,NS,28,121.063,103.392,3.58,14.6,NA,average,Spring,34.4191319,-119.8759086,soil
146,5/27/2022,2022_05_29 ,NCOS_2_EW,EW,4,112.663,105.18,0.86,6.64,1223,average,Spring,34.4190296,-119.8760796,vegetated
147,5/27/2022,2022_05_29 ,NCOS_2_EW,EW,12,95.576,83.394,2.04,12.75,1224,average,Spring,34.41900372,-119.8760001,vegetated
148,5/27/2022,2022_05_29 ,NCOS_2_EW,EW,20,76.903,64.104,3.7,16.64,1225,average,Spring,34.41897751,-119.8759183,vegetated
149,5/27/2022,2022_05_29 ,NCOS_2_EW,EW,28,63.294,50.164,4.78,20.74,1226,average,Spring,34.4189515,-119.8758376,vegetated
150,9/12/2022,NA,NCOS_1_NS,NS,4,84.619,NA,0.73,NA,1227,average,Fall,34.42097283,-119.8749907,vegetated
151,9/12/2022,NA,NCOS_1_NS,NS,12,99.65,NA,1.35,NA,1228,average,Fall,34.42092564,-119.8749717,vegetated
152,9/12/2022,NA,NCOS_1_NS,NS,20,124,NA,4.62,NA,1229,average,Fall,34.42083872,-119.8749289,vegetated
153,9/12/2022,NA,NCOS_1_NS,NS,28,165.54,NA,9.98,NA,1230,average,Fall,34.42077106,-119.874899,vegetated
154,9/12/2022,NA,NCOS_2_NS,NS,4,85.092,NA,4.58,NA,1231,average,Fall,34.41891616,-119.8759174,vegetated
155,9/12/2022,NA,NCOS_2_NS,NS,12,29.857,NA,6.49,NA,1232,average,Fall,34.41906098,-119.8759127,vegetated
156,9/12/2022,NA,NCOS_2_NS,NS,20,180.289,NA,12.65,NA,1233,average,Fall,34.41906098,-119.8759127,soil
157,9/12/2022,NA,NCOS_2_NS,NS,28,50.042,NA,8.46,NA,1234,average,Fall,34.4191319,-119.8759086,soil
158,9/12/2022,NA,NCOS_2_EW,EW,4,57.576,NA,2.26,NA,1235,average,Fall,34.4190296,-119.8760796,vegetated
159,9/12/2022,NA,NCOS_2_EW,EW,12,103.398,NA,2.6,NA,1232,average,Fall,34.41900372,-119.8760001,vegetated
160,9/12/2022,NA,NCOS_2_EW,EW,20,38.01,NA,4.67,NA,1236,average,Fall,34.41897751,-119.8759183,vegetated
161,9/12/2022,NA,NCOS_2_EW,EW,28,47.536,NA,4.28,NA,1237,average,Fall,34.4189515,-119.8758376,vegetated
